Anno Nascita,Cittadinanza,Nome,Sesso,Occorrenze
2025,Stranieri,AARON SANTIAGO,M,1
2025,Stranieri,ABDELLATIF SHAABAN ABDELLATIF ALI,M,1
2025,Stranieri,ABDELRAHMAN MOHAMED ABDELSALAM ABDELAZIZ AHMED,M,1
2025,Italiani,ABIGAIL SAFIA,F,1
2025,Italiani,ACHILLE,M,1
2025,Italiani,ACHINT INDER SINGH,M,1
2025,Italiani,ADEL,M,1
2025,Italiani,ADELE,F,1
2025,Italiani,AHMADOU BAMBA,M,1
2025,Stranieri,AHMADOUNA NASSER,M,1
2025,Stranieri,AHMED ABDELHAMID HANI ABDELHAMID ELTANTAWI,M,1
2025,Stranieri,AICHA,F,1
2025,Italiani,ALBION,M,1
2025,Italiani,ALESSANDRA,F,1
2025,Italiani,ALESSANDRO,M,3
2025,Italiani,ALESSANDRO GIULIO,M,1
2025,Italiani,ALI,M,1
2025,Italiani,ALICE,F,1
2025,Italiani,ALLEGRA,F,2
2025,Italiani,ALTEA,F,1
2025,Italiani,AMBRA,F,1
2025,Italiani,AMELIA,F,1
2025,Stranieri,AMELY ROZ,F,1
2025,Stranieri,AMEN MOHAMED MAGDY ABDELRAZEK,M,1
2025,Stranieri,AMINA,F,1
2025,Italiani,AMIRA,F,1
2025,Stranieri,AMIRA,F,1
2025,Stranieri,ANAIZA,F,1
2025,Italiani,ANDREA,M,1
2025,Italiani,ANGELICA SOLE,F,1
2025,Italiani,ANNALISA,F,1
2025,Italiani,ANTONIO,M,1
2025,Stranieri,ARAF,M,1
2025,Italiani,ARIANNA,F,2
2025,Stranieri,ARTEM,M,1
2025,Italiani,ARWEN GINEVRA,F,1
2025,Italiani,AURORA,F,2
2025,Italiani,AXEL,M,1
2025,Stranieri,AYA,F,1
2025,Stranieri,AYLA ALI HISHAM SHAABAN ELHUSSEINI,F,1
2025,Stranieri,AYLA OMAR ASSEM ABBASS KHALIL,F,1
2025,Stranieri,BAKI BLIAN,M,1
2025,Italiani,BALAJ,M,1
2025,Italiani,BARBARA,F,1
2025,Italiani,BEATRICE,F,5
2025,Italiani,BIANCA,F,3
2025,Italiani,BINTOU,F,1
2025,Italiani,BROIS,M,1
2025,Italiani,CAMILLA,F,1
2025,Stranieri,CARLA,F,1
2025,Italiani,CARLOTTA,F,3
2025,Stranieri,CATERINA LUCIA,F,1
2025,Italiani,CECILIA,F,1
2025,Italiani,CELESTE,F,1
2025,Stranieri,CRISTIAN,M,1
2025,Stranieri,DAMIR,M,1
2025,Stranieri,DANIEL,M,2
